dataset,method,N,time_ms
random,nearest-x,32768,4.52861
random,str,32768,5.73602
europa,nearest-x,32768,2.82537
europa,str,32768,4.81877
random,nearest-x,65536,8.34744
random,str,65536,11.1439
europa,nearest-x,65536,5.84592
europa,str,65536,10.0486
random,nearest-x,131072,15.9173
random,str,131072,22.7538
europa,nearest-x,131072,12.3321
europa,str,131072,20.7968
random,nearest-x,262144,37.4683
random,str,262144,48.7929
europa,nearest-x,262144,25.386
europa,str,262144,43.5275
random,nearest-x,524288,77.5983
random,str,524288,103.357
europa,nearest-x,524288,67.4144
europa,str,524288,103.888
random,nearest-x,1048576,148.529
random,str,1048576,215.98
europa,nearest-x,1048576,137.667
europa,str,1048576,215.651
random,nearest-x,2097152,312.195
random,str,2097152,455.148
europa,nearest-x,2097152,292.439
europa,str,2097152,455.103
random,nearest-x,4194304,666.206
random,str,4194304,992.969
europa,nearest-x,4194304,613.004
europa,str,4194304,944.028
random,nearest-x,8388608,1356.74
random,str,8388608,1951.18
europa,nearest-x,8388608,1252.11
europa,str,8388608,2050.58
random,nearest-x,16777216,2852.39
random,str,16777216,4173.99
europa,nearest-x,16777216,2770.05
europa,str,16777216,4160.89
