x,y
16.344,48.0008
16.3501,48.0032
16.3527,48.0043
16.4068,48.0231
16.4079,48.0235
16.4057,48.0235
16.408,48.0238
16.3784,48.0265
16.409,48.0267
16.3744,48.0269
16.3782,48.0271
16.3786,48.0272
16.3783,48.0274
16.3787,48.0275
16.3788,48.0277
16.4747,48
16.4746,48.0001
16.4777,48.0001
16.4754,48.0007
16.472,48.0015
16.4768,48.0015
16.4765,48.0017
16.4757,48.0019
16.4759,48.002
16.4717,48.0027
16.4721,48.0029
16.4745,48.0033
16.4747,48.0034
16.4799,48.0039
16.4801,48.004
16.4517,48.0129
16.4947,48.0153
16.4964,48.0164
16.4692,48.0175
16.4523,48.0179
16.452,48.0179
16.4522,48.018
16.4519,48.018
16.4522,48.018
16.4518,48.0181
16.452,48.0182
16.458,48.0184
16.495,48.0187
16.4605,48.0188
16.4607,48.0188
16.495,48.0191
16.4624,48.0197
16.4979,48.0204
16.4632,48.0204
16.4949,48.021
16.495,48.021
16.4956,48.0212
16.4956,48.0212
16.4955,48.0212
16.4955,48.0212
16.4954,48.0213
16.4898,48.0216
16.4904,48.0216
16.4895,48.0218
16.4662,48.0219
16.4972,48.0234
16.4933,48.0235
16.4933,48.0241
16.4962,48.0242
16.4913,48.0258
16.4869,48.026
16.4953,48.0265
16.4907,48.0268
16.4907,48.0269
16.4872,48.0277
16.4898,48.0281
16.493,48.0283
16.4896,48.0283
16.4931,48.0283
16.49,48.0292
16.49,48.0292
16.4901,48.0293
16.4875,48.0305
16.4952,48.0309
16.4377,48.0318
16.4959,48.035
16.4957,48.0351
16.4957,48.0352
16.4956,48.0352
16.4954,48.0354
16.4939,48.0355
16.4969,48.0358
16.4453,48.0402
16.4448,48.0407
16.4451,48.0407
16.4447,48.041
16.443,48.041
16.4451,48.0411
16.445,48.0412
16.4435,48.0412
16.4477,48.0438
16.448,48.0439
16.4462,48.0443
16.3768,48.0277
16.3765,48.0278
16.3837,48.0278
16.3834,48.0278
16.3834,48.0278
16.3772,48.0278
16.3765,48.0278
16.3762,48.0279
16.3788,48.028
16.3782,48.0281
16.379,48.0284
16.3792,48.0289
16.3789,48.0292
16.3793,48.0292
16.3789,48.0293
16.3795,48.0295
16.3791,48.0296
16.3836,48.0297
16.3797,48.0297
16.3836,48.0298
16.3849,48.0298
16.3794,48.0299
16.3784,48.0299
16.3794,48.03
16.3793,48.03
16.3845,48.0301
16.3794,48.0302
16.38,48.0304
16.3798,48.0305
16.3799,48.0307
16.3799,48.0308
16.3805,48.031
16.3807,48.0312
16.3808,48.0315
16.3804,48.0315
